1,5,000-search.net
3,5,00fun.com
4,5,00inkjets.com
5,5,01o.com
6,5,02320.net
7,5,08search.com
8,5,0fficial-page.com
9,5,0mm.com
10,5,0stats.com
17,5,1000stars.ru
15,5,100-100.ru
16,5,100-celebrities.com
18,5,100free.nl
19,5,100hot.com
20,5,100percentcash.com
21,5,100webads.com
23,5,101com.com
22,5,101-website-traffic.com
24,5,103bees.com
25,5,104bay.com
14,5,10-million-hits.com
26,5,119922.com
27,5,11qe.com
28,5,121itrafficexchange.com
29,5,121media.com
31,5,12345dns.net
32,5,12345sex.com
33,5,123ads.nl
34,5,123adult.com
35,5,123adulthosting.com
36,5,123adulthosting.net
39,5,123banners.com
40,5,123content.com
41,5,123coquine.com
42,5,123count.com
43,5,123counts.com
44,5,123go.com
45,5,123go.net
46,5,123go.net.ca
47,5,123invention.com
30,5,123-ptp.com
48,5,123search.com
49,5,123stat.com
50,5,123topsearch.com
51,5,123webmarketing.com
52,5,12free.com
11,5,1-2-free.com
53,5,12titans.net
54,5,12traffic.de
55,5,13175.com
56,5,14interactive.com
58,5,17cash.com
57,5,17-plus.com
59,5,1800banners.com
60,5,1800freehits.com
61,5,18girl-av.com
62,5,192.com
63,5,1adexchange.com
64,5,1bz.com
65,5,1cat.com
12,5,1-click.org
66,5,1click2go.com
67,5,1clicktraffic.com
68,5,1directory.ru
69,5,1ere-position.com
70,5,1for1.com
71,5,1freecounter.com
72,5,1hentaipimp.com
8451,5,1horoscopesdaily.com
73,5,1kcash.com
75,5,1millionlotto.net
76,5,1mov.net
13,5,1-promote.com
8453,5,1purecrush.com
8452,5,1pure-crush.com
77,5,1q.org
78,5,1redirect.com
79,5,1se.org
80,5,1second.com
81,5,1sense.info
82,5,1shoppingcart.com
83,5,1softwarespot.com
85,5,1sponsor.com
87,5,1stbanner.ru
86,5,1st-media.com
88,5,1stmovieclub.net
89,5,1stpunch.com
90,5,1to1investor.com
91,5,1trac.com
92,5,1under.ru
93,5,1worldmarket.com
94,5,2007-search.com
95,5,2008feisearch.com
96,5,2008g2feed.com
98,5,2009download-best-soft.com
99,5,2009happytubes.com
97,5,2009-search.com
100,5,200online.net
101,5,207.net
102,5,2349.com
104,5,241hits.com
105,5,247lyrics.com
106,5,247media.com
107,5,247media.de
103,5,24-7porno.com
108,5,247realmedia.com
109,5,247search.com
110,5,247wsr.com
111,5,24log.com
112,5,24log.ru
113,5,24pmad.com
114,5,25dollargiftcard.com
115,5,2ad.de
116,5,2bid4.com
117,5,2bro.com
8749,5,2cameraboys.com
